onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	6	0.0	76	4	E	0	2.0	2	True	6	8	1	1	3/8	True	1	1	1	0	0a	5	0	True	True				{	False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
6	6	1.0	64	4	E	0	1.0	1	True	6	8	2	1	3/8	True	1	2	2	1	1a	4	3/2	False	False					False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
6	1	1.0	79	1	G	0	1.0	1	True	6	8	1	1	1/16	True	1	2	2	1	1a	5	3/2	False	False					False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
7	1	1.167	78	6	F	1	1.167	0	False	6	8	1	1	1/16	True	1	2	2	1	1a	5	7/4	False	False					False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
8	1	1.333	76	4	E	0	1.333	0	False	6	8	1	1	1/16	True	1	2	2	1	1a	5	2	False	False					False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
9	1	1.5	75	9	D	1	1.5	0	False	6	8	1	1	1/16	True	1	2	2	1	1a	5	9/4	False	False					False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	5	5	5	#7	False	False	False
10	1	1.667	73	7	C	1	1.667	0	False	6	8	1	1	1/16	True	1	2	2	1	1a	5	5/2	False	False					False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	3	3	3	#6	False	False	False
11	1	1.833	71	5	B	0	1.833	0	False	6	8	1	1	1/16	True	1	2	2	1	1a	4	11/4	False	False					False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	1	1	1	5	True	False	False
12	1	2.0	67	1	G	0	2.0	2	True	6	8	2	1	1/16	True	1	2	2	1	1a	4	3	False	True					False	1	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	-3	-3	-3	3	True	False	True
12	2	2.0	76	4	E	0	2.0	2	True	6	8	1	1	1/8	True	1	2	2	1	1a	5	3	False	True					False	1	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	0	0	0	1	True	True	False
13	1	2.167	66	6	F	1	2.167	0	False	6	8	2	1	1/16	True	1	2	2	1	1a	4	13/4	False	False					False	1	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	2	2	2	2	False	False	False
14	1	2.333	64	4	E	0	2.333	0	False	6	8	2	1	1/16	True	1	2	2	1	1a	4	7/2	False	False					False	1	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	0	0	0	1	True	True	False
14	2	2.333	71	5	B	0	2.333	0	False	6	8	1	1	1/8	True	1	2	2	1	1a	4	7/2	False	False					False	1	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	1	1	1	5	True	False	False
15	1	2.5	63	9	D	1	2.5	0	False	6	8	2	1	1/16	True	1	2	2	1	1a	4	15/4	False	False					False	1	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	5	5	5	#7	False	False	False
16	1	2.667	61	7	C	1	2.667	0	False	6	8	2	1	1/16	True	1	2	2	1	1a	4	4	False	False					False	1	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	3	3	3	#6	False	False	False
16	2	2.667	69	3	A	0	2.667	0	False	6	8	1	1	1/8	True	1	2	2	1	1a	4	4	False	False					False	1	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	-1	-1	-1	4	False	False	False
17	1	2.833	59	5	B	0	2.833	0	False	6	8	2	1	1/16	True	1	2	2	1	1a	3	17/4	False	False					False	1	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	1	1	1	5	True	False	False
18	6	3.0	64	4	E	0	1.0	1	True	6	8	2	1	3/8	True	1	3	3	2	2a	4	9/2	False	True					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
18	2	3.0	67	1	G	0	1.0	1	True	6	8	1	1	1/8	True	1	3	3	2	2a	4	9/2	False	True					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
20	1	3.333	66	6	F	1	1.333	0	False	6	8	1	1	1/16	True	1	3	3	2	2a	4	5	False	False					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
21	1	3.5	67	1	G	0	1.5	0	False	6	8	1	1	1/16	True	1	3	3	2	2a	4	21/4	False	False					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
22	2	3.667	64	4	E	0	1.667	0	False	6	8	1	1	1/8	True	1	3	3	2	2a	4	11/2	False	False					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
24	4	4.0	52	4	E	0	2.0	2	True	6	8	2	1	1/4	True	1	3	3	2	2a	3	6	False	False					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
24	1	4.0	67	1	G	0	2.0	2	True	6	8	1	1	1/16	True	1	3	3	2	2a	4	6	False	False					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
25	1	4.167	66	6	F	1	2.167	0	False	6	8	1	1	1/16	True	1	3	3	2	2a	4	25/4	False	False					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
26	1	4.333	64	4	E	0	2.333	0	False	6	8	1	1	1/16	True	1	3	3	2	2a	4	13/2	False	False					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
27	1	4.5	66	6	F	1	2.5	0	False	6	8	1	1	1/16	True	1	3	3	2	2a	4	27/4	False	False					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
28	1	4.667	67	1	G	0	2.667	0	False	6	8	1	1	1/16	True	1	3	3	2	2a	4	7	False	False					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
29	1	4.833	69	3	A	0	2.833	0	False	6	8	1	1	1/16	True	1	3	3	2	2a	4	29/4	False	False					False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
30	4	5.0	50	2	D	0	1.0	1	True	6	8	2	1	1/4	True	1	4	4	3	3a	3	15/2	False	True					False	3	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		4	4	4	5	2	B	D	E	E	minor triad	1	True	True	True	True	True	-2	-2	-2	7	True	False	True
30	2	5.0	66	6	F	1	1.0	1	True	6	8	1	1	1/8	True	1	4	4	3	3a	4	15/2	False	True					False	3	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		4	4	4	5	2	B	D	E	E	minor triad	1	True	True	True	True	True	2	2	2	2	True	False	False
32	1	5.333	71	5	B	0	1.333	0	False	6	8	1	1	1/16	True	1	4	4	3	3a	4	8	False	False					False	3	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		4	4	4	5	2	B	D	E	E	minor triad	1	True	True	True	True	True	1	1	1	5	True	True	False
33	1	5.5	69	3	A	0	1.5	0	False	6	8	1	1	1/16	True	1	4	4	3	3a	4	33/4	False	False					False	3	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		4	4	4	5	2	B	D	E	E	minor triad	1	True	True	True	True	True	-1	-1	-1	4	False	False	False
34	1	5.667	67	1	G	0	1.667	0	False	6	8	1	1	1/16	True	1	4	4	3	3a	4	17/2	False	False					False	3	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		4	4	4	5	2	B	D	E	E	minor triad	1	True	True	True	True	True	-3	-3	-3	3	False	False	False
35	1	5.833	66	6	F	1	1.833	0	False	6	8	1	1	1/16	True	1	4	4	3	3a	4	35/4	False	False					False	3	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		4	4	4	5	2	B	D	E	E	minor triad	1	True	True	True	True	True	2	2	2	2	True	False	False
36	4	6.0	48	0	C	0	2.0	2	True	6	8	2	1	1/4	True	1	4	4	3	3a	3	9	False	True					False	4	VIM7	e	i		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		4	4	4	0	0	C	C	E	E	major seventh chord	7	True	True	True	True	True	-4	-4	-4	6	True	True	True
36	2	6.0	64	4	E	0	2.0	2	True	6	8	1	1	1/8	True	1	4	4	3	3a	4	9	False	True					False	4	VIM7	e	i		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		4	4	4	0	0	C	C	E	E	major seventh chord	7	True	True	True	True	True	0	0	0	1	True	False	False
38	0	6.333	78	6	F	1	2.333	0	False	6	8	1	1	0	True	1	4	4	3	3a	5	19/2	False	False					False	4	VIM7	e	i		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		4	4	4	0	0	C	C	E	E	major seventh chord	7	True	True	True	True	True	2	2	2	2	False	False	False
38	4	6.333	76	4	E	0	2.333	0	False	6	8	1	1	1/4	True	1	4	4	3	3a	5	19/2	False	False					False	4	VIM7	e	i		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		4	4	4	0	0	C	C	E	E	major seventh chord	7	True	True	True	True	True	0	0	0	1	True	False	False
42	4	7.0	47	5	B	0	1.0	1	True	6	8	2	1	1/4	True	1	5	5	4	4a	2	21/2	False	True	HC.PHR	HC	PHR	}	True	6	V|HC.PHR}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
42	4	7.0	75	9	D	1	1.0	1	True	6	8	1	1	1/4	True	1	5	5	4	4a	5	21/2	False	True	HC.PHR	HC	PHR	}	True	6	V|HC.PHR}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	5	5	5	#7	True	False	False
48	6	8.0	76	4	E	0	2.0	2	True	6	8	1	1	3/8	True	1	1	6	0	4a	5	12	True	True				{	False	7	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
54	6	9.0	64	4	E	0	1.0	1	True	6	8	2	1	3/8	True	1	2	7	1	1b	4	27/2	False	False					False	7	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
54	1	9.0	79	1	G	0	1.0	1	True	6	8	1	1	1/16	True	1	2	7	1	1b	5	27/2	False	False					False	7	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
55	1	9.167	78	6	F	1	1.167	0	False	6	8	1	1	1/16	True	1	2	7	1	1b	5	55/4	False	False					False	7	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
56	1	9.333	76	4	E	0	1.333	0	False	6	8	1	1	1/16	True	1	2	7	1	1b	5	14	False	False					False	7	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
57	1	9.5	75	9	D	1	1.5	0	False	6	8	1	1	1/16	True	1	2	7	1	1b	5	57/4	False	False					False	7	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	5	5	5	#7	False	False	False
58	1	9.667	73	7	C	1	1.667	0	False	6	8	1	1	1/16	True	1	2	7	1	1b	5	29/2	False	False					False	7	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	3	3	3	#6	False	False	False
59	1	9.833	71	5	B	0	1.833	0	False	6	8	1	1	1/16	True	1	2	7	1	1b	4	59/4	False	False					False	7	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	1	1	1	5	True	False	False
60	1	10.0	67	1	G	0	2.0	2	True	6	8	2	1	1/16	True	1	2	7	1	1b	4	15	False	True					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	-3	-3	-3	3	True	False	True
60	2	10.0	76	4	E	0	2.0	2	True	6	8	1	1	1/8	True	1	2	7	1	1b	5	15	False	True					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	0	0	0	1	True	True	False
61	1	10.167	66	6	F	1	2.167	0	False	6	8	2	1	1/16	True	1	2	7	1	1b	4	61/4	False	False					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	2	2	2	2	False	False	False
62	1	10.333	64	4	E	0	2.333	0	False	6	8	2	1	1/16	True	1	2	7	1	1b	4	31/2	False	False					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	0	0	0	1	True	True	False
62	2	10.333	71	5	B	0	2.333	0	False	6	8	1	1	1/8	True	1	2	7	1	1b	4	31/2	False	False					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	1	1	1	5	True	False	False
63	1	10.5	63	9	D	1	2.5	0	False	6	8	2	1	1/16	True	1	2	7	1	1b	4	63/4	False	False					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	5	5	5	#7	False	False	False
64	1	10.667	61	7	C	1	2.667	0	False	6	8	2	1	1/16	True	1	2	7	1	1b	4	16	False	False					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	3	3	3	#6	False	False	False
64	2	10.667	69	3	A	0	2.667	0	False	6	8	1	1	1/8	True	1	2	7	1	1b	4	16	False	False					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	-1	-1	-1	4	False	False	False
65	1	10.833	59	5	B	0	2.833	0	False	6	8	2	1	1/16	True	1	2	7	1	1b	3	65/4	False	False					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	1	1	1	5	True	False	False
66	6	11.0	64	4	E	0	1.0	1	True	6	8	2	1	3/8	True	1	3	8	2	2b	4	33/2	False	True					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
66	2	11.0	67	1	G	0	1.0	1	True	6	8	1	1	1/8	True	1	3	8	2	2b	4	33/2	False	True					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
68	1	11.333	66	6	F	1	1.333	0	False	6	8	1	1	1/16	True	1	3	8	2	2b	4	17	False	False					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
69	1	11.5	67	1	G	0	1.5	0	False	6	8	1	1	1/16	True	1	3	8	2	2b	4	69/4	False	False					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
70	2	11.667	64	4	E	0	1.667	0	False	6	8	1	1	1/8	True	1	3	8	2	2b	4	35/2	False	False					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
72	4	12.0	52	4	E	0	2.0	2	True	6	8	2	1	1/4	True	1	3	8	2	2b	3	18	False	False					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
72	1	12.0	67	1	G	0	2.0	2	True	6	8	1	1	1/16	True	1	3	8	2	2b	4	18	False	False					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
73	1	12.167	66	6	F	1	2.167	0	False	6	8	1	1	1/16	True	1	3	8	2	2b	4	73/4	False	False					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
74	1	12.333	64	4	E	0	2.333	0	False	6	8	1	1	1/16	True	1	3	8	2	2b	4	37/2	False	False					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
75	1	12.5	66	6	F	1	2.5	0	False	6	8	1	1	1/16	True	1	3	8	2	2b	4	75/4	False	False					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
76	1	12.667	67	1	G	0	2.667	0	False	6	8	1	1	1/16	True	1	3	8	2	2b	4	19	False	False					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
77	1	12.833	69	3	A	0	2.833	0	False	6	8	1	1	1/16	True	1	3	8	2	2b	4	77/4	False	False					False	9	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
