onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	12	0.0	55	1	G	0	3.0	3	True	3	4	2	1	1/4	True	-3	1	1	0	0a	3	0	True	True			{	False	0	c.V{	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
12	36	1.0	67	1	G	0	1.0	1	True	3	4	1	2	3/4	True	-3	2	2	1	1a	4	1	False	False				False	0	c.V{	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
24	6	2.0	65	-1	F	0	2.0	2	True	3	4	2	1	1/8	True	-3	2	2	1	1a	4	2	False	True				False	1	V2	c	i		V2		V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	i	i, minor	V		i	i	True	V2	V2, minor		V2, minor		V	V7	5		0	0	0	1	-1	G	F	C	C	dominant seventh chord	3	True	True	True	True	True	-1	-1	-1	4	True	False	True
30	6	2.5	63	-3	E	-1	2.5	0	False	3	4	2	1	1/8	True	-3	2	2	1	1a	4	5/2	False	True				False	2	i6	c	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		0	0	0	0	-3	C	Eb	C	C	minor triad	1	True	True	True	True	True	-3	-3	-3	3	True	False	True
30	6	2.5	72	0	C	0	2.5	0	False	3	4	1	1	1/8	True	-3	2	2	1	1a	5	5/2	False	True				False	2	i6	c	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		0	0	0	0	-3	C	Eb	C	C	minor triad	1	True	True	True	True	True	0	0	0	1	True	True	False
36	6	3.0	62	2	D	0	3.0	3	True	3	4	2	1	1/8	True	-3	2	2	1	1a	4	3	False	True				False	3	V64	c	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		0	0	0	1	2	G	D	C	C	major triad	2	True	True	True	True	True	2	2	2	2	True	False	True
36	6	3.0	71	5	B	0	3.0	3	True	3	4	1	1	1/8	True	-3	2	2	1	1a	4	3	False	True				False	3	V64	c	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		0	0	0	1	2	G	D	C	C	major triad	2	True	True	True	True	True	5	5	5	#7	True	False	False
36	6	3.0	74	2	D	0	3.0	3	True	3	4	1	1	1/8	True	-3	2	2	1	1a	5	3	False	True				False	3	V64	c	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		0	0	0	1	2	G	D	C	C	major triad	2	True	True	True	True	True	2	2	2	2	True	False	True
42	6	3.5	60	0	C	0	3.5	0	False	3	4	2	1	1/8	True	-3	2	2	1	1a	4	7/2	False	True				False	4	i	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		0	0	0	0	0	C	C	C	C	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
42	6	3.5	72	0	C	0	3.5	0	False	3	4	1	1	1/8	True	-3	2	2	1	1a	5	7/2	False	True				False	4	i	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		0	0	0	0	0	C	C	C	C	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
42	6	3.5	75	-3	E	-1	3.5	0	False	3	4	1	1	1/8	True	-3	2	2	1	1a	5	7/2	False	True				False	4	i	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		0	0	0	0	0	C	C	C	C	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
48	9	4.0	62	2	D	0	1.0	1	True	3	4	2	1	3/16	True	-3	3	3	2	2a	4	4	False	True				False	5	V43	c	i		V43		V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		0	0	0	1	2	G	D	C	C	dominant seventh chord	2	True	True	True	True	True	2	2	2	2	True	False	True
48	36	4.0	67	1	G	0	1.0	1	True	3	4	1	3	3/4	False	-3	3	3	2	2a	4	4	False	True				False	5	V43	c	i		V43		V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		0	0	0	1	2	G	D	C	C	dominant seventh chord	2	True	True	True	True	True	1	1	1	5	True	True	False
48	12	4.0	71	5	B	0	1.0	1	True	3	4	1	2	1/4	True	-3	3	3	2	2a	4	4	False	True				False	5	V43	c	i		V43		V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		0	0	0	1	2	G	D	C	C	dominant seventh chord	2	True	True	True	True	True	5	5	5	#7	True	False	False
