onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	24	0.0	57	3	A	0	1.0	1	True	2	4	2	2	1/2	True	3	1	1	1	1a	3	0	True	True				False	0	A.I[I		A	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	I	1		3	3	3	3	3	A	A	A	A	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
0	3	0.0	73	7	C	1	1.0	1	True	2	4	1	1	1/16	True	3	1	1	1	1a	5	0	True	True				False	0	A.I[I		A	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	I	1		3	3	3	3	3	A	A	A	A	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
3	3	0.25	74	2	D	0	1.25	0	False	2	4	1	1	1/16	True	3	1	1	1	1a	5	1/4	False	False				False	0	A.I[I		A	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	I	1		3	3	3	3	3	A	A	A	A	major triad	0	True	False	True	True	True	-1	-1	-1	4	False	False	False
6	3	0.5	76	4	E	0	1.5	0	False	2	4	1	1	1/16	True	3	1	1	1	1a	5	1/2	False	False				False	0	A.I[I		A	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	I	1		3	3	3	3	3	A	A	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
9	3	0.75	73	7	C	1	1.75	0	False	2	4	1	1	1/16	True	3	1	1	1	1a	5	3/4	False	False				False	0	A.I[I		A	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	I	1		3	3	3	3	3	A	A	A	A	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
12	12	1.0	66	6	F	1	2.0	2	True	2	4	2	1	1/4	True	3	1	1	1	1a	4	1	False	True				False	1	vi		A	I	I	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	I	vi, major		vi	vi	6		3	3	3	6	6	F#	F#	A	A	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
12	3	1.0	69	3	A	0	2.0	2	True	2	4	1	1	1/16	True	3	1	1	1	1a	4	1	False	True				False	1	vi		A	I	I	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	I	vi, major		vi	vi	6		3	3	3	6	6	F#	F#	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	False	False
15	3	1.25	71	5	B	0	2.25	0	False	2	4	1	1	1/16	True	3	1	1	1	1a	4	5/4	False	False				False	1	vi		A	I	I	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	I	vi, major		vi	vi	6		3	3	3	6	6	F#	F#	A	A	minor triad	0	True	False	True	True	True	2	2	2	2	False	False	False
18	3	1.5	73	7	C	1	2.5	0	False	2	4	1	1	1/16	True	3	1	1	1	1a	5	3/2	False	False				False	1	vi		A	I	I	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	I	vi, major		vi	vi	6		3	3	3	6	6	F#	F#	A	A	minor triad	0	True	False	True	True	True	4	4	4	3	True	False	False
21	3	1.75	69	3	A	0	2.75	0	False	2	4	1	1	1/16	True	3	1	1	1	1a	4	7/4	False	False				False	1	vi		A	I	I	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	I	vi, major		vi	vi	6		3	3	3	6	6	F#	F#	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	False	False
