onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
96	72	4.0	45	3	A	0	1.0	1	True	4	4	2	1	3/4	False	-1	2	2	2	2a	2	4	False	False				False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		2	2	2	3	7	A	C#	D	D	major triad	1	True	True	True	True	True	1	1	1	5	True	True	False
96	72	4.0	69	3	A	0	1.0	1	True	4	4	1	1	3/4	True	-1	2	2	2	2a	4	4	False	False				False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		2	2	2	3	7	A	C#	D	D	major triad	1	True	True	True	True	True	1	1	1	5	True	True	False
168	24	7.0	49	7	C	1	4.0	4	True	4	4	2	1	1/4	True	-1	2	2	2	2a	3	7	False	True				False	1		V65		d	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	V7	5		2	2	2	3	7	A	C#	D	D	dominant seventh chord	1	True	True	True	True	True	5	5	5	#7	True	False	True
168	24	7.0	57	3	A	0	4.0	4	True	4	4	2	1	1/4	True	-1	2	2	2	2a	3	7	False	True				False	1		V65		d	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	V7	5		2	2	2	3	7	A	C#	D	D	dominant seventh chord	1	True	True	True	True	True	1	1	1	5	True	True	False
168	12	7.0	69	3	A	0	4.0	4	True	4	4	1	1	1/8	True	-1	2	2	2	2a	4	7	False	True				False	1		V65		d	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	V7	5		2	2	2	3	7	A	C#	D	D	dominant seventh chord	1	True	True	True	True	True	1	1	1	5	True	True	False
180	12	7.5	67	1	G	0	4.5	0	False	4	4	1	1	1/8	True	-1	2	2	2	2a	4	15/2	False	False				False	1		V65		d	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	V7	5		2	2	2	3	7	A	C#	D	D	dominant seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	False
192	24	8.0	50	2	D	0	1.0	1	True	4	4	2	1	1/4	True	-1	3	3	3	3a	3	8	False	True				False	2		i		d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
192	24	8.0	57	3	A	0	1.0	1	True	4	4	2	1	1/4	True	-1	3	3	3	3a	3	8	False	True				False	2		i		d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	True	True	True	True	1	1	1	5	True	False	False
192	12	8.0	67	1	G	0	1.0	1	True	4	4	1	1	1/8	True	-1	3	3	3	3a	4	8	False	True				False	2		i		d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
204	12	8.5	65	-1	F	0	1.5	0	False	4	4	1	1	1/8	True	-1	3	3	3	3a	4	17/2	False	False				False	2		i		d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
216	24	9.0	52	4	E	0	2.0	2	True	4	4	2	1	1/4	True	-1	3	3	3	3a	3	9	False	True				False	3		V64		d	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		2	2	2	3	4	A	E	D	D	major triad	2	True	True	True	True	True	2	2	2	2	True	False	True
216	24	9.0	57	3	A	0	2.0	2	True	4	4	2	1	1/4	True	-1	3	3	3	3a	3	9	False	True				False	3		V64		d	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		2	2	2	3	4	A	E	D	D	major triad	2	True	True	True	True	True	1	1	1	5	True	True	False
216	12	9.0	65	-1	F	0	2.0	2	True	4	4	1	1	1/8	True	-1	3	3	3	3a	4	9	False	True				False	3		V64		d	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		2	2	2	3	4	A	E	D	D	major triad	2	True	True	True	True	True	-3	-3	-3	3	False	False	False
228	12	9.5	64	4	E	0	2.5	0	False	4	4	1	1	1/8	True	-1	3	3	3	3a	4	19/2	False	False				False	3		V64		d	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		2	2	2	3	4	A	E	D	D	major triad	2	True	True	True	True	True	2	2	2	2	True	False	True
240	24	10.0	53	-1	F	0	3.0	3	True	4	4	2	1	1/4	True	-1	3	3	3	3a	3	10	False	True				False	4		i6		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	True	True	True	True	-3	-3	-3	3	True	False	True
240	24	10.0	57	3	A	0	3.0	3	True	4	4	2	1	1/4	True	-1	3	3	3	3a	3	10	False	True				False	4		i6		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	True	True	True	True	1	1	1	5	True	False	False
240	12	10.0	64	4	E	0	3.0	3	True	4	4	1	1	1/8	True	-1	3	3	3	3a	4	10	False	True				False	4		i6		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	True	True	True	True	2	2	2	2	False	False	False
252	12	10.5	62	2	D	0	3.5	0	False	4	4	1	1	1/8	True	-1	3	3	3	3a	4	21/2	False	False				False	4		i6		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	True	True	True	True	0	0	0	1	True	True	False
264	24	11.0	49	7	C	1	4.0	4	True	4	4	2	1	1/4	True	-1	3	3	3	3a	3	11	False	True				False	5		V65		d	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	V7	5		2	2	2	3	7	A	C#	D	D	dominant seventh chord	1	True	True	True	True	True	5	5	5	#7	True	False	True
264	24	11.0	57	3	A	0	4.0	4	True	4	4	2	1	1/4	True	-1	3	3	3	3a	3	11	False	True				False	5		V65		d	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	V7	5		2	2	2	3	7	A	C#	D	D	dominant seventh chord	1	True	True	True	True	True	1	1	1	5	True	True	False
264	12	11.0	69	3	A	0	4.0	4	True	4	4	1	1	1/8	True	-1	3	3	3	3a	4	11	False	True				False	5		V65		d	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	V7	5		2	2	2	3	7	A	C#	D	D	dominant seventh chord	1	True	True	True	True	True	1	1	1	5	True	True	False
276	12	11.5	67	1	G	0	4.5	0	False	4	4	1	1	1/8	True	-1	3	3	3	3a	4	23/2	False	False				False	5		V65		d	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	V7	5		2	2	2	3	7	A	C#	D	D	dominant seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	False
288	24	12.0	50	2	D	0	1.0	1	True	4	4	2	1	1/4	True	-1	4	4	4	4a	3	12	False	True				False	6		i		d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
288	24	12.0	57	3	A	0	1.0	1	True	4	4	2	1	1/4	True	-1	4	4	4	4a	3	12	False	True				False	6		i		d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	True	True	True	True	1	1	1	5	True	False	False
288	12	12.0	67	1	G	0	1.0	1	True	4	4	1	1	1/8	True	-1	4	4	4	4a	4	12	False	True				False	6		i		d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
300	12	12.5	65	-1	F	0	1.5	0	False	4	4	1	1	1/8	True	-1	4	4	4	4a	4	25/2	False	False				False	6		i		d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
312	24	13.0	52	4	E	0	2.0	2	True	4	4	2	1	1/4	True	-1	4	4	4	4a	3	13	False	True				False	7		V64		d	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		2	2	2	3	4	A	E	D	D	major triad	2	True	True	True	True	True	2	2	2	2	True	False	True
312	24	13.0	57	3	A	0	2.0	2	True	4	4	2	1	1/4	True	-1	4	4	4	4a	3	13	False	True				False	7		V64		d	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		2	2	2	3	4	A	E	D	D	major triad	2	True	True	True	True	True	1	1	1	5	True	True	False
312	12	13.0	65	-1	F	0	2.0	2	True	4	4	1	1	1/8	True	-1	4	4	4	4a	4	13	False	True				False	7		V64		d	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		2	2	2	3	4	A	E	D	D	major triad	2	True	True	True	True	True	-3	-3	-3	3	False	False	False
324	12	13.5	64	4	E	0	2.5	0	False	4	4	1	1	1/8	True	-1	4	4	4	4a	4	27/2	False	False				False	7		V64		d	i		V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		2	2	2	3	4	A	E	D	D	major triad	2	True	True	True	True	True	2	2	2	2	True	False	True
336	24	14.0	53	-1	F	0	3.0	3	True	4	4	2	1	1/4	True	-1	4	4	4	4a	3	14	False	True				False	8		i6		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	True	True	True	True	-3	-3	-3	3	True	False	True
336	24	14.0	57	3	A	0	3.0	3	True	4	4	2	1	1/4	True	-1	4	4	4	4a	3	14	False	True				False	8		i6		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	True	True	True	True	1	1	1	5	True	False	False
336	12	14.0	64	4	E	0	3.0	3	True	4	4	1	1	1/8	True	-1	4	4	4	4a	4	14	False	True				False	8		i6		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	True	True	True	True	2	2	2	2	False	False	False
348	12	14.5	62	2	D	0	3.5	0	False	4	4	1	1	1/8	True	-1	4	4	4	4a	4	29/2	False	False				False	8		i6		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	True	True	True	True	0	0	0	1	True	True	False
360	24	15.0	54	6	F	1	4.0	4	True	4	4	2	1	1/4	True	-1	4	4	4	4a	3	15	False	True				False	9		V65/iv		d	i		V65/iv		V		65		iv	Mm7	True	True	(4, 1, -2, 0)	()	0	4	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V65/iv	V65/iv, minor		V65/iv, minor	iv	iv	V7	5	4	2	2	1	2	6	D	F#	D	G	dominant seventh chord	1	True	True	True	True	True	4	4	5	#3	True	False	True
360	24	15.0	62	2	D	0	4.0	4	True	4	4	2	1	1/4	True	-1	4	4	4	4a	4	15	False	True				False	9		V65/iv		d	i		V65/iv		V		65		iv	Mm7	True	True	(4, 1, -2, 0)	()	0	4	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V65/iv	V65/iv, minor		V65/iv, minor	iv	iv	V7	5	4	2	2	1	2	6	D	F#	D	G	dominant seventh chord	1	True	True	True	True	True	0	0	1	1	True	True	False
360	12	15.0	74	2	D	0	4.0	4	True	4	4	1	1	1/8	True	-1	4	4	4	4a	5	15	False	True				False	9		V65/iv		d	i		V65/iv		V		65		iv	Mm7	True	True	(4, 1, -2, 0)	()	0	4	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V65/iv	V65/iv, minor		V65/iv, minor	iv	iv	V7	5	4	2	2	1	2	6	D	F#	D	G	dominant seventh chord	1	True	True	True	True	True	0	0	1	1	True	True	False
372	12	15.5	72	0	C	0	4.5	0	False	4	4	1	1	1/8	True	-1	4	4	4	4a	5	31/2	False	False				False	9		V65/iv		d	i		V65/iv		V		65		iv	Mm7	True	True	(4, 1, -2, 0)	()	0	4	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V65/iv	V65/iv, minor		V65/iv, minor	iv	iv	V7	5	4	2	2	1	2	6	D	F#	D	G	dominant seventh chord	1	True	True	True	True	True	-2	-2	-1	7	True	False	False
384	24	16.0	55	1	G	0	1.0	1	True	4	4	2	1	1/4	True	-1	5	5	5	5a	3	16	False	True				False	10		iv		d	i		iv		iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		2	2	2	1	1	G	G	D	D	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
384	24	16.0	62	2	D	0	1.0	1	True	4	4	2	1	1/4	True	-1	5	5	5	5a	4	16	False	True				False	10		iv		d	i		iv		iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		2	2	2	1	1	G	G	D	D	minor triad	0	True	True	True	True	True	0	0	0	1	True	False	False
384	12	16.0	72	0	C	0	1.0	1	True	4	4	1	1	1/8	True	-1	5	5	5	5a	5	16	False	True				False	10		iv		d	i		iv		iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		2	2	2	1	1	G	G	D	D	minor triad	0	True	True	True	True	True	-2	-2	-2	7	False	False	False
396	12	16.5	70	-2	B	-1	1.5	0	False	4	4	1	1	1/8	True	-1	5	5	5	5a	4	33/2	False	False				False	10		iv		d	i		iv		iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		2	2	2	1	1	G	G	D	D	minor triad	0	True	True	True	True	True	-4	-4	-4	6	True	False	False
408	24	17.0	57	3	A	0	2.0	2	True	4	4	2	1	1/4	True	-1	5	5	5	5a	3	17	False	True				False	11		V64/iv		d	i		V64/iv		V		64		iv	M	True	True	(1, 0, 4)	()	0	1	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V64/iv	V64/iv, minor		V64/iv, minor	iv	iv	V	5	4	2	2	1	2	3	D	A	D	G	major triad	2	True	True	True	True	True	1	1	2	5	True	False	True
408	24	17.0	62	2	D	0	2.0	2	True	4	4	2	1	1/4	True	-1	5	5	5	5a	4	17	False	True				False	11		V64/iv		d	i		V64/iv		V		64		iv	M	True	True	(1, 0, 4)	()	0	1	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V64/iv	V64/iv, minor		V64/iv, minor	iv	iv	V	5	4	2	2	1	2	3	D	A	D	G	major triad	2	True	True	True	True	True	0	0	1	1	True	True	False
408	12	17.0	70	-2	B	-1	2.0	2	True	4	4	1	1	1/8	True	-1	5	5	5	5a	4	17	False	True				False	11		V64/iv		d	i		V64/iv		V		64		iv	M	True	True	(1, 0, 4)	()	0	1	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V64/iv	V64/iv, minor		V64/iv, minor	iv	iv	V	5	4	2	2	1	2	3	D	A	D	G	major triad	2	True	True	True	True	True	-4	-4	-3	6	False	False	False
420	12	17.5	69	3	A	0	2.5	0	False	4	4	1	1	1/8	True	-1	5	5	5	5a	4	35/2	False	False				False	11		V64/iv		d	i		V64/iv		V		64		iv	M	True	True	(1, 0, 4)	()	0	1	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V64/iv	V64/iv, minor		V64/iv, minor	iv	iv	V	5	4	2	2	1	2	3	D	A	D	G	major triad	2	True	True	True	True	True	1	1	2	5	True	False	True
432	24	18.0	58	-2	B	-1	3.0	3	True	4	4	2	1	1/4	True	-1	5	5	5	5a	3	18	False	True				False	12		iv6		d	i		iv6		iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	2	2	1	-2	G	Bb	D	D	minor triad	1	True	True	True	True	True	-4	-4	-4	6	True	False	True
432	24	18.0	62	2	D	0	3.0	3	True	4	4	2	1	1/4	True	-1	5	5	5	5a	4	18	False	True				False	12		iv6		d	i		iv6		iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	2	2	1	-2	G	Bb	D	D	minor triad	1	True	True	True	True	True	0	0	0	1	True	False	False
432	12	18.0	69	3	A	0	3.0	3	True	4	4	1	1	1/8	True	-1	5	5	5	5a	4	18	False	True				False	12		iv6		d	i		iv6		iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	2	2	1	-2	G	Bb	D	D	minor triad	1	True	True	True	True	True	1	1	1	5	False	False	False
444	12	18.5	67	1	G	0	3.5	0	False	4	4	1	1	1/8	True	-1	5	5	5	5a	4	37/2	False	False				False	12		iv6		d	i		iv6		iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	2	2	1	-2	G	Bb	D	D	minor triad	1	True	True	True	True	True	-1	-1	-1	4	True	True	False
456	24	19.0	58	-2	B	-1	4.0	4	True	4	4	2	1	1/4	True	-1	5	5	5	5a	3	19	False	True				False	13		It6		d	i		It6	It	vii	o	6	b3	V	It	True	True	(-4, 0, 6)	()	6	-4	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio6/V	viio6/V, minor		It6, minor	V	V	It	7	5	2	2	3	8	-2	G#	Bb	D	A	Italian augmented sixth chord	1	True	True	True	True	True	-4	-4	-5	6	True	False	True
456	24	19.0	62	2	D	0	4.0	4	True	4	4	2	1	1/4	True	-1	5	5	5	5a	4	19	False	True				False	13		It6		d	i		It6	It	vii	o	6	b3	V	It	True	True	(-4, 0, 6)	()	6	-4	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio6/V	viio6/V, minor		It6, minor	V	V	It	7	5	2	2	3	8	-2	G#	Bb	D	A	Italian augmented sixth chord	1	True	True	True	True	True	0	0	-1	1	True	False	False
456	12	19.0	67	1	G	0	4.0	4	True	4	4	1	1	1/8	True	-1	5	5	5	5a	4	19	False	True				False	13		It6		d	i		It6	It	vii	o	6	b3	V	It	True	True	(-4, 0, 6)	()	6	-4	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio6/V	viio6/V, minor		It6, minor	V	V	It	7	5	2	2	3	8	-2	G#	Bb	D	A	Italian augmented sixth chord	1	True	True	True	True	True	-1	-1	-2	4	False	False	False
