onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	2	0.0	78	6	F	1	3.0	3	True	3	4	1	1	1/4	True	2	1	1	0	0a	5	0	True	True			{	False	0	b.i{		b	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		5	5	5	5	5	B	B	B	B	minor triad	0	True	True	True	True	True	1	1	1	5	True	False	False
2	3	1.0	71	5	B	0	1.0	1	True	3	4	1	1	3/8	True	2	2	2	1	1a	4	1	False	False				False	0	b.i{		b	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		5	5	5	5	5	B	B	B	B	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
5	1	2.5	73	7	C	1	2.5	0	False	3	4	1	1	1/8	True	2	2	2	1	1a	5	5/2	False	False				False	0	b.i{		b	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		5	5	5	5	5	B	B	B	B	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
6	2	3.0	59	5	B	0	3.0	3	True	3	4	3	1	1/4	True	2	2	2	1	1a	3	3	False	False				False	0	b.i{		b	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		5	5	5	5	5	B	B	B	B	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
6	2	3.0	59	5	B	0	3.0	3	True	3	4	4	1	1/4	True	2	2	2	1	1a	3	3	False	False				False	0	b.i{		b	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		5	5	5	5	5	B	B	B	B	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
6	2	3.0	71	5	B	0	3.0	3	True	3	4	2	1	1/4	True	2	2	2	1	1a	4	3	False	False				False	0	b.i{		b	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		5	5	5	5	5	B	B	B	B	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
6	2	3.0	74	2	D	0	3.0	3	True	3	4	1	1	1/4	True	2	2	2	1	1a	5	3	False	False				False	0	b.i{		b	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		5	5	5	5	5	B	B	B	B	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
8	3	4.0	54	6	F	1	1.0	1	True	3	4	3	1	3/8	True	2	3	3	2	2a	3	4	False	True				False	1	v		b	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		5	5	5	6	6	F#	F#	B	B	minor triad	0	True	True	True	True	True	1	1	1	5	True	True	True
8	3	4.0	54	6	F	1	1.0	1	True	3	4	4	1	3/8	True	2	3	3	2	2a	3	4	False	True				False	1	v		b	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		5	5	5	6	6	F#	F#	B	B	minor triad	0	True	True	True	True	True	1	1	1	5	True	True	True
8	3	4.0	69	3	A	0	1.0	1	True	3	4	2	1	3/8	True	2	3	3	2	2a	4	4	False	True				False	1	v		b	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		5	5	5	6	6	F#	F#	B	B	minor triad	0	True	True	True	True	True	-2	-2	-2	7	True	False	False
8	2	4.0	73	7	C	1	1.0	1	True	3	4	1	1	1/4	True	2	3	3	2	2a	5	4	False	True				False	1	v		b	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		5	5	5	6	6	F#	F#	B	B	minor triad	0	True	True	True	True	True	2	2	2	2	True	False	False
