onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	36	0.0	40	4	E	0	1.0	1	True	3	4	3	2	3/4	True	4	1	1	1	1a	2	0	True	True				False	0	E.I	E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
12	24	1.0	47	5	B	0	2.0	2	True	3	4	3	1	1/2	True	4	1	1	1	1a	2	1	False	False				False	0	E.I	E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
12	6	1.0	56	8	G	1	2.0	2	True	3	4	2	1	1/8	True	4	1	1	1	1a	3	1	False	False				False	0	E.I	E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
12	6	1.0	64	4	E	0	2.0	2	True	3	4	2	1	1/8	True	4	1	1	1	1a	4	1	False	False				False	0	E.I	E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
18	6	1.5	59	5	B	0	2.5	0	False	3	4	2	1	1/8	True	4	1	1	1	1a	3	3/2	False	False				False	0	E.I	E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
18	6	1.5	66	6	F	1	2.5	0	False	3	4	2	1	1/8	True	4	1	1	1	1a	4	3/2	False	False				False	0	E.I	E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	False	True	True	True	2	2	2	2	False	False	False
24	6	2.0	64	4	E	0	3.0	3	True	3	4	2	1	1/8	True	4	1	1	1	1a	4	2	False	False				False	0	E.I	E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
24	6	2.0	68	8	G	1	3.0	3	True	3	4	2	1	1/8	True	4	1	1	1	1a	4	2	False	False				False	0	E.I	E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
30	6	2.5	66	6	F	1	3.5	0	False	3	4	2	1	1/8	True	4	1	1	1	1a	4	5/2	False	False				False	0	E.I	E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	False	True	True	True	2	2	2	2	False	False	False
30	6	2.5	69	3	A	0	3.5	0	False	3	4	2	1	1/8	True	4	1	1	1	1a	4	5/2	False	False				False	0	E.I	E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	False	True	True	True	-1	-1	-1	4	False	False	False
36	36	3.0	35	5	B	0	1.0	1	True	3	4	3	2	3/4	True	4	2	2	2	2a	1	3	False	True				False	1	V(64)	E	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	Cad	5		4	4	4	5	5	B	B	E	E	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
36	12	3.0	47	5	B	0	1.0	1	True	3	4	3	1	1/4	False	4	2	2	2	2a	2	3	False	True				False	1	V(64)	E	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	Cad	5		4	4	4	5	5	B	B	E	E	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
36	12	3.0	64	4	E	0	1.0	1	True	3	4	2	1	1/4	True	4	2	2	2	2a	4	3	False	True				False	1	V(64)	E	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	Cad	5		4	4	4	5	5	B	B	E	E	major triad	0	True	False	True	True	True	0	0	0	1	True	False	False
36	12	3.0	68	8	G	1	1.0	1	True	3	4	2	1	1/4	True	4	2	2	2	2a	4	3	False	True				False	1	V(64)	E	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	Cad	5		4	4	4	5	5	B	B	E	E	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
48	24	4.0	47	5	B	0	2.0	2	True	3	4	3	1	1/2	True	4	2	2	2	2a	2	4	False	True				False	2	V	E	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
48	6	4.0	63	9	D	1	2.0	2	True	3	4	2	1	1/8	True	4	2	2	2	2a	4	4	False	True				False	2	V	E	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	False	True	True	True	5	5	5	7	True	False	False
48	6	4.0	66	6	F	1	2.0	2	True	3	4	2	1	1/8	True	4	2	2	2	2a	4	4	False	True				False	2	V	E	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
54	6	4.5	57	3	A	0	2.5	0	False	3	4	2	1	1/8	True	4	2	2	2	2a	3	9/2	False	False				False	2	V	E	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	False	True	True	True	-1	-1	-1	4	False	False	False
54	6	4.5	61	7	C	1	2.5	0	False	3	4	2	1	1/8	True	4	2	2	2	2a	4	9/2	False	False				False	2	V	E	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	False	True	True	True	3	3	3	6	False	False	False
60	9	5.0	63	9	D	1	3.0	3	True	3	4	2	1	3/16	True	4	2	2	2	2a	4	5	False	False				False	2	V	E	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	False	True	True	True	5	5	5	7	True	False	False
