onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	4	0.0	74	2	D	0	3.0	3	True	3	4	1	1	1/4	True	2	1	1	0	0a	5	0	True	False					False	0	D.I{	D	I		I	I	%	6	4	V	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	V	I	I	False	I	I, major		I, major	V	I	I	1	5	2	2	2	2	2	D	D	D	D	major triad	0	False	True	True	True	True	0	0	0	1	True	True	True
4	12	1.0	50	2	D	0	1.0	1	True	3	4	2	2	3/4	True	2	2	2	1	1a	3	1	False	True				{	False	0	D.I{	D	I		I	I	%	6	4	V	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	V	I	I	False	I	I, major		I, major	V	I	I	1	5	2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
4	6	1.0	78	6	F	1	1.0	1	True	3	4	1	1	3/8	True	2	2	2	1	1a	5	1	False	True				{	False	0	D.I{	D	I		I	I	%	6	4	V	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	V	I	I	False	I	I, major		I, major	V	I	I	1	5	2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
8	8	2.0	54	6	F	1	2.0	2	True	3	4	2	1	1/2	True	2	2	2	1	1a	3	2	False	False					False	0	D.I{	D	I		I	I	%	6	4	V	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	V	I	I	False	I	I, major		I, major	V	I	I	1	5	2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
10	2	2.5	76	4	E	0	2.5	0	False	3	4	1	1	1/8	True	2	2	2	1	1a	5	5/2	False	False					False	0	D.I{	D	I		I	I	%	6	4	V	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	V	I	I	False	I	I, major		I, major	V	I	I	1	5	2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	2	2	2	2	False	False	False
12	4	3.0	57	3	A	0	3.0	3	True	3	4	2	3	1/4	True	2	2	2	1	1a	3	3	False	False					False	0	D.I{	D	I		I	I	%	6	4	V	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	V	I	I	False	I	I, major		I, major	V	I	I	1	5	2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
12	2	3.0	74	2	D	0	3.0	3	True	3	4	1	1	1/8	True	2	2	2	1	1a	5	3	False	False					False	0	D.I{	D	I		I	I	%	6	4	V	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	V	I	I	False	I	I, major		I, major	V	I	I	1	5	2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
14	2	3.5	78	6	F	1	3.5	0	False	3	4	1	1	1/8	True	2	2	2	1	1a	5	7/2	False	False					False	0	D.I{	D	I		I	I	%	6	4	V	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	V	I	I	False	I	I, major		I, major	V	I	I	1	5	2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
16	0	4.0	78	6	F	1	1.0	1	True	3	4	1	1	0	True	2	3	3	2	2a	5	4	False	True					False	1	V6	D	I		V6	V	%	6	4	V	M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V	V	I	I	False	V6	V6, major		V6, major	V	V	V	5	5	2	2	2	3	7	A	C#	D	D	major triad	1	True	True	True	True	True	4	4	4	3	False	False	False
16	12	4.0	49	7	C	1	1.0	1	True	3	4	2	2	3/4	True	2	3	3	2	2a	3	4	False	True					False	1	V6	D	I		V6	V	%	6	4	V	M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V	V	I	I	False	V6	V6, major		V6, major	V	V	V	5	5	2	2	2	3	7	A	C#	D	D	major triad	1	True	True	True	True	True	5	5	5	7	True	False	True
