onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	8	0.0	45	3	A	0	1.0	1	True	4	4	3	1	1	True	0	1	1	1	1a	2	0	True	True				False	0	a.i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
0	8	0.0	64	4	E	0	1.0	1	True	4	4	1	1	1	True	0	1	1	1	1a	4	0	True	True				False	0	a.i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
8	4	4.0	45	3	A	0	1.0	1	True	4	4	3	1	1/2	True	0	2	2	2	2a	2	4	False	False				False	0	a.i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
8	4	4.0	64	4	E	0	1.0	1	True	4	4	1	1	1/2	True	0	2	2	2	2a	4	4	False	False				False	0	a.i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
12	4	6.0	48	0	C	0	3.0	3	True	4	4	3	1	1/2	True	0	2	2	2	2a	3	6	False	True				False	1	III		a	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		3	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-3	-3	-3	3	True	True	True
12	4	6.0	64	4	E	0	3.0	3	True	4	4	1	1	1/2	True	0	2	2	2	2a	4	6	False	True				False	1	III		a	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		3	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
16	4	8.0	48	0	C	0	1.0	1	True	4	4	3	1	1/2	False	0	3	3	3	3a	3	8	False	False				False	1	III		a	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		3	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-3	-3	-3	3	True	True	True
16	4	8.0	64	4	E	0	1.0	1	True	4	4	1	1	1/2	False	0	3	3	3	3a	4	8	False	False				False	1	III		a	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		3	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
20	4	10.0	43	1	G	0	3.0	3	True	4	4	3	1	1/2	True	0	3	3	3	3a	2	10	False	True				False	2	VII		a	i		VII	VII					M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	VII		i	i	True	VII	VII, minor		VII, minor		VII	VII	7		3	3	3	1	1	G	G	A	A	major triad	0	True	False	True	True	True	-2	-2	-2	7	True	True	True
20	4	10.0	62	2	D	0	3.0	3	True	4	4	1	1	1/2	True	0	3	3	3	3a	4	10	False	True				False	2	VII		a	i		VII	VII					M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	VII		i	i	True	VII	VII, minor		VII, minor		VII	VII	7		3	3	3	1	1	G	G	A	A	major triad	0	True	False	True	True	True	-1	-1	-1	4	True	False	False
24	4	12.0	43	1	G	0	1.0	1	True	4	4	3	1	1/2	True	0	4	4	4	4a	2	12	False	False				False	2	VII		a	i		VII	VII					M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	VII		i	i	True	VII	VII, minor		VII, minor		VII	VII	7		3	3	3	1	1	G	G	A	A	major triad	0	True	False	True	True	True	-2	-2	-2	7	True	True	True
24	4	12.0	62	2	D	0	1.0	1	True	4	4	1	1	1/2	True	0	4	4	4	4a	4	12	False	False				False	2	VII		a	i		VII	VII					M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	VII		i	i	True	VII	VII, minor		VII, minor		VII	VII	7		3	3	3	1	1	G	G	A	A	major triad	0	True	False	True	True	True	-1	-1	-1	4	True	False	False
28	4	14.0	45	3	A	0	3.0	3	True	4	4	3	1	1/2	True	0	4	4	4	4a	2	14	False	True				False	3	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
28	4	14.0	60	0	C	0	3.0	3	True	4	4	1	1	1/2	True	0	4	4	4	4a	4	14	False	True				False	3	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
32	8	16.0	52	4	E	0	1.0	1	True	4	4	3	1	1	True	0	5	5	5	5a	3	16	False	True				False	4	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
32	8	16.0	59	5	B	0	1.0	1	True	4	4	1	1	1	True	0	5	5	5	5a	3	16	False	True				False	4	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
40	4	20.0	53	-1	F	0	1.0	1	True	4	4	3	1	1/2	True	0	6	6	6	6a	3	20	False	True				False	5	VI	iv6	a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	True	True
40	4	20.0	57	3	A	0	1.0	1	True	4	4	1	1	1/2	True	0	6	6	6	6a	3	20	False	True				False	5	VI	iv6	a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	False	True	True	True	0	0	0	1	True	False	False
44	4	22.0	50	2	D	0	3.0	3	True	4	4	3	1	1/2	True	0	6	6	6	6a	3	22	False	True				False	6	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
44	4	22.0	57	3	A	0	3.0	3	True	4	4	1	1	1/2	True	0	6	6	6	6a	3	22	False	True				False	6	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	False	False
48	4	24.0	55	1	G	0	1.0	1	True	4	4	3	1	1/2	True	0	7	7	7	7a	3	24	False	True				False	7	vii		a	i		vii	vii					m	True	True	(-2, -5, -1)	()	-2	-2	minor	minor	i	i, minor	vii		i	i	True	vii	vii, minor		vii, minor		vii	bvii	7		3	3	3	1	1	G	G	A	A	minor triad	0	True	False	True	True	True	-2	-2	-2	7	True	True	True
48	4	24.0	58	-2	B	-1	1.0	1	True	4	4	1	1	1/2	True	0	7	7	7	7a	3	24	False	True				False	7	vii		a	i		vii	vii					m	True	True	(-2, -5, -1)	()	-2	-2	minor	minor	i	i, minor	vii		i	i	True	vii	vii, minor		vii, minor		vii	bvii	7		3	3	3	1	1	G	G	A	A	minor triad	0	True	False	True	True	True	-5	-5	-5	b2	True	False	False
52	4	26.0	52	4	E	0	3.0	3	True	4	4	3	1	1/2	True	0	7	7	7	7a	3	26	False	True				False	8	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
52	4	26.0	59	5	B	0	3.0	3	True	4	4	1	1	1/2	True	0	7	7	7	7a	3	26	False	True				False	8	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
56	4	28.0	57	3	A	0	1.0	1	True	4	4	3	1	1/2	True	0	8	8	8	8a	3	28	False	True				False	9	V/iv		a	i		V/iv	V				iv	M	True	True	(0, 4, 1)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V/iv	V/iv, minor		V/iv, minor	iv	iv	V	5	4	3	3	2	3	3	A	A	A	D	major triad	0	True	False	True	True	True	0	0	1	1	True	True	True
56	4	28.0	61	7	C	1	1.0	1	True	4	4	1	1	1/2	True	0	8	8	8	8a	4	28	False	True				False	9	V/iv		a	i		V/iv	V				iv	M	True	True	(0, 4, 1)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V/iv	V/iv, minor		V/iv, minor	iv	iv	V	5	4	3	3	2	3	3	A	A	A	D	major triad	0	True	False	True	True	True	4	4	5	#3	True	False	False
60	4	30.0	55	1	G	0	3.0	3	True	4	4	3	1	1/2	True	0	8	8	8	8a	3	30	False	True				False	10	IV/iv		a	i		IV/iv	IV				iv	M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	IV/iv	iv	iv/i	iv	True	IV/iv	IV/iv, minor		IV/iv, minor	iv	iv	IV	4	4	3	3	2	1	1	G	G	A	D	major triad	0	True	False	True	True	True	-2	-2	-1	7	True	True	True
60	4	30.0	62	2	D	0	3.0	3	True	4	4	1	1	1/2	True	0	8	8	8	8a	4	30	False	True				False	10	IV/iv		a	i		IV/iv	IV				iv	M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	IV/iv	iv	iv/i	iv	True	IV/iv	IV/iv, minor		IV/iv, minor	iv	iv	IV	4	4	3	3	2	1	1	G	G	A	D	major triad	0	True	False	True	True	True	-1	-1	0	4	True	False	False
64	4	32.0	57	3	A	0	1.0	1	True	4	4	3	1	1/2	True	0	9	9	9	9a	3	32	False	True				False	11	V(4)/iv		a	i		V(4)/iv	V			4	iv	M	True	True	(0, -1, 1)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V/iv	V/iv, minor		V(4)/iv, minor	iv	iv	V	5	4	3	3	2	3	3	A	A	A	D	major triad	0	True	False	True	True	True	0	0	1	1	True	True	True
64	4	32.0	62	2	D	0	1.0	1	True	4	4	1	1	1/2	False	0	9	9	9	9a	4	32	False	True				False	11	V(4)/iv		a	i		V(4)/iv	V			4	iv	M	True	True	(0, -1, 1)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V/iv	V/iv, minor		V(4)/iv, minor	iv	iv	V	5	4	3	3	2	3	3	A	A	A	D	major triad	0	True	False	True	True	True	-1	-1	0	4	True	False	False
68	4	34.0	57	3	A	0	3.0	3	True	4	4	3	1	1/2	False	0	9	9	9	9a	3	34	False	True				False	12	V/iv		a	i		V/iv	V				iv	M	True	True	(0, 4, 1)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V/iv	V/iv, minor		V/iv, minor	iv	iv	V	5	4	3	3	2	3	3	A	A	A	D	major triad	0	True	False	True	True	True	0	0	1	1	True	True	True
68	4	34.0	61	7	C	1	3.0	3	True	4	4	1	1	1/2	True	0	9	9	9	9a	4	34	False	True				False	12	V/iv		a	i		V/iv	V				iv	M	True	True	(0, 4, 1)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V/iv	V/iv, minor		V/iv, minor	iv	iv	V	5	4	3	3	2	3	3	A	A	A	D	major triad	0	True	False	True	True	True	4	4	5	#3	True	False	False
72	8	36.0	50	2	D	0	1.0	1	True	4	4	3	1	1	True	0	10	10	10	10a	3	36	False	True			\\	True	13	iv\\		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
72	8	36.0	62	2	D	0	1.0	1	True	4	4	1	1	1	True	0	10	10	10	10a	4	36	False	True			\\	True	13	iv\\		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
80	8	40.0	45	3	A	0	1.0	1	True	4	4	3	1	1	True	0	11	11	11	11a	2	40	False	True				False	14	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
80	8	40.0	64	4	E	0	1.0	1	True	4	4	2	1	1	True	0	11	11	11	11a	4	40	False	True				False	14	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
88	4	44.0	45	3	A	0	1.0	1	True	4	4	3	1	1/2	False	0	12	12	12	12a	2	44	False	False				False	14	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
88	4	44.0	52	4	E	0	1.0	1	True	4	4	1	1	1/2	True	0	12	12	12	12a	3	44	False	False				False	14	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
88	4	44.0	64	4	E	0	1.0	1	True	4	4	2	1	1/2	True	0	12	12	12	12a	4	44	False	False				False	14	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
92	4	46.0	45	3	A	0	3.0	3	True	4	4	3	1	1/2	True	0	12	12	12	12a	2	46	False	False				False	14	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
92	4	46.0	52	4	E	0	3.0	3	True	4	4	1	1	1/2	True	0	12	12	12	12a	3	46	False	False				False	14	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
92	4	46.0	64	4	E	0	3.0	3	True	4	4	2	1	1/2	True	0	12	12	12	12a	4	46	False	False				False	14	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
96	4	48.0	50	2	D	0	1.0	1	True	4	4	3	1	1/2	True	0	13	13	13	13a	3	48	False	True				False	15	iv(9)		a	i		iv(9)	iv			9		m	True	True	(-1, -4, 0)	(1,)	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv(9), minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
96	4	48.0	53	-1	F	0	1.0	1	True	4	4	1	1	1/2	True	0	13	13	13	13a	3	48	False	True				False	15	iv(9)		a	i		iv(9)	iv			9		m	True	True	(-1, -4, 0)	(1,)	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv(9), minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
96	4	48.0	64	4	E	0	1.0	1	True	4	4	2	1	1/2	False	0	13	13	13	13a	4	48	False	True				False	15	iv(9)		a	i		iv(9)	iv			9		m	True	True	(-1, -4, 0)	(1,)	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv(9), minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	False	False	False
100	4	50.0	47	5	B	0	3.0	3	True	4	4	3	1	1/2	True	0	13	13	13	13a	2	50	False	True				False	16	ii		a	i		ii	ii					m	True	True	(2, -1, 3)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	ii	ii, minor		ii, minor		ii	ii	2		3	3	3	5	5	B	B	A	A	minor triad	0	True	False	True	True	True	2	2	2	2	True	True	True
100	4	50.0	54	6	F	1	3.0	3	True	4	4	1	1	1/2	True	0	13	13	13	13a	3	50	False	True				False	16	ii		a	i		ii	ii					m	True	True	(2, -1, 3)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	ii	ii, minor		ii, minor		ii	ii	2		3	3	3	5	5	B	B	A	A	minor triad	0	True	False	True	True	True	3	3	3	#6	True	False	False
100	4	50.0	62	2	D	0	3.0	3	True	4	4	2	1	1/2	True	0	13	13	13	13a	4	50	False	True				False	16	ii		a	i		ii	ii					m	True	True	(2, -1, 3)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	ii	ii, minor		ii, minor		ii	ii	2		3	3	3	5	5	B	B	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	False	False
104	4	52.0	52	4	E	0	1.0	1	True	4	4	3	1	1/2	True	0	14	14	14	14a	3	52	False	True				False	17	V7		a	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	V7	5		3	3	3	4	4	E	E	A	A	dominant seventh chord	7	True	False	True	True	True	1	1	1	5	True	True	True
104	4	52.0	56	8	G	1	1.0	1	True	4	4	1	1	1/2	True	0	14	14	14	14a	3	52	False	True				False	17	V7		a	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	V7	5		3	3	3	4	4	E	E	A	A	dominant seventh chord	7	True	False	True	True	True	5	5	5	#7	True	False	False
104	4	52.0	62	2	D	0	1.0	1	True	4	4	2	1	1/2	True	0	14	14	14	14a	4	52	False	True				False	17	V7		a	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	V7	5		3	3	3	4	4	E	E	A	A	dominant seventh chord	7	True	False	True	True	True	-1	-1	-1	4	True	False	False
108	4	54.0	52	4	E	0	3.0	3	True	4	4	3	1	1/2	False	0	14	14	14	14a	3	54	False	True				False	18	V(64)		a	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	Cad	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
108	4	54.0	57	3	A	0	3.0	3	True	4	4	1	1	1/2	True	0	14	14	14	14a	3	54	False	True				False	18	V(64)		a	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	Cad	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	0	0	0	1	True	False	False
108	4	54.0	60	0	C	0	3.0	3	True	4	4	2	1	1/2	True	0	14	14	14	14a	4	54	False	True				False	18	V(64)		a	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	Cad	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
112	4	56.0	52	4	E	0	1.0	1	True	4	4	3	1	1/2	False	0	15	15	15	15a	3	56	False	True				False	19	V(4)		a	i		V(4)	V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
112	4	56.0	57	3	A	0	1.0	1	True	4	4	1	1	1/2	False	0	15	15	15	15a	3	56	False	True				False	19	V(4)		a	i		V(4)	V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	0	0	0	1	True	False	False
112	8	56.0	59	5	B	0	1.0	1	True	4	4	2	1	1	True	0	15	15	15	15a	3	56	False	True				False	19	V(4)		a	i		V(4)	V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
116	4	58.0	52	4	E	0	3.0	3	True	4	4	3	1	1/2	False	0	15	15	15	15a	3	58	False	True				False	20	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
116	4	58.0	56	8	G	1	3.0	3	True	4	4	1	1	1/2	True	0	15	15	15	15a	3	58	False	True				False	20	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	5	5	5	#7	True	False	False
120	8	60.0	45	3	A	0	1.0	1	True	4	4	3	1	1	True	0	16	16	16	16a	2	60	False	True			\\	True	21	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
120	4	60.0	57	3	A	0	1.0	1	True	4	4	1	1	1/2	True	0	16	16	16	16a	3	60	False	True			\\	True	21	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
124	4	62.0	60	0	C	0	3.0	3	True	4	4	2	1	1/2	True	0	16	16	16	16a	4	62	False	False				False	21	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
124	4	62.0	64	4	E	0	3.0	3	True	4	4	1	1	1/2	True	0	16	16	16	16a	4	62	False	False				False	21	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
128	4	64.0	45	3	A	0	1.0	1	True	4	4	3	1	1/2	True	0	17	17	17	17a	2	64	False	False				False	21	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
